Store,Period,Forecast Type,Predicted Sales,Important Positive Factors,Important Negative Factors,Forecast Summary
1,2015-05-04,Weekly,29789.13,"promotion activity, week of year, school holiday period","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 29,789. Main factors increasing the model prediction: promotion activity, week of year, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
1,2015-05-11,Weekly,21099.62,"recent 12-week sales variability, school holiday period, recent 4-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 21,100. Main factors increasing the model prediction: recent 12-week sales variability, school holiday period, recent 4-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
1,2015-05-18,Weekly,28515.3,"promotion activity, school holiday period, number of open days","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 28,515. Main factors increasing the model prediction: promotion activity, school holiday period, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
1,2015-05-25,Weekly,19732.88,"week of year, school holiday period, recent 12-week sales variability","promotion activity, recent 12-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 19,733. Main factors increasing the model prediction: week of year, school holiday period, recent 12-week sales variability. Main factors decreasing the model prediction: promotion activity, recent 12-week average sales, sales fifty-two weeks ago."
1,2015-06-01,Weekly,27414.0,"promotion activity, week of year, month-start timing","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 27,414. Main factors increasing the model prediction: promotion activity, week of year, month-start timing. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
1,2015-06-08,Weekly,20959.79,"number of open days, week of year, school holiday period","recent 12-week average sales, promotion activity, sales fifty-two weeks ago","Weekly predicted sales: 20,960. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, promotion activity, sales fifty-two weeks ago."
1,2015-06-15,Weekly,27984.79,"promotion activity, number of open days, school holiday period","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 27,985. Main factors increasing the model prediction: promotion activity, number of open days, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
1,2015-06-22,Weekly,21462.7,"number of open days, recent 4-week sales variability, school holiday period","recent 12-week average sales, promotion activity, sales fifty-two weeks ago","Weekly predicted sales: 21,463. Main factors increasing the model prediction: number of open days, recent 4-week sales variability, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, promotion activity, sales fifty-two weeks ago."
1,2015-06-29,Weekly,29920.88,"promotion activity, month-start timing, number of open days","recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago","Weekly predicted sales: 29,921. Main factors increasing the model prediction: promotion activity, month-start timing, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, recent 4-week average sales, sales fifty-two weeks ago."
1,2015-07-06,Weekly,22831.83,"number of open days, week of year, school holiday period","recent 12-week average sales, promotion activity, sales fifty-two weeks ago","Weekly predicted sales: 22,832. Main factors increasing the model prediction: number of open days, week of year, school holiday period. Main factors decreasing the model prediction: recent 12-week average sales, promotion activity, sales fifty-two weeks ago."
1,2015-07-13,Weekly,29068.35,"promotion activity, school holiday period, number of open days","recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales","Weekly predicted sales: 29,068. Main factors increasing the model prediction: promotion activity, school holiday period, number of open days. Main factors decreasing the model prediction: recent 12-week average sales, sales fifty-two weeks ago, recent 4-week average sales."
