Store,OpenDays,PromoDays,SchoolHolidayDays,WeekendDays,MonthStartDays,MonthEndDays,StateHolidayDays,Year,Month,Quarter,CompetitionDistance,CompetitionOpenKnown,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,TimeIndex,sales_lag_1,sales_lag_2,sales_lag_3,sales_lag_12,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,EMA_3,EMA_6,days_since_last_promo,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,"PromoInterval_Feb,May,Aug,Nov","PromoInterval_Jan,Apr,Jul,Oct","PromoInterval_Mar,Jun,Sept,Dec",PromoInterval_none
-20.640356,-711.8986,-1842.771,142.78174,95.23021,-721.0577,-644.9,-12.086792,0.0,-1098.4971,-59.979,228.31557,2.0763135,62.484932,403.76425,-2.8547049,16.89075,-3.8411279,1655.9607,-3990.2788,868.1676,61.14476,-9277.209,208.98918,249.04547,123.87453,337.47507,3210.394,2667.2327,0.0,-113.09786,-3.1494048,-5.291862,-213.57782,997.9231,-13.591937,101.48129,3.132931,-9.904875,43.35506,1.5622113
11.120689,-211.03859,284.934,629.3863,4.4896984,247.28323,157.70087,-11.736381,0.0,-379.13327,4.132924,-132.79065,2.9220574,68.9815,424.4556,-2.8547049,-4.3408623,-114.72377,1041.234,-8506.191,69.84218,-173.16022,-17209.393,-795.472,123.649086,-1262.8307,211.59116,-10769.253,-11435.048,0.0,77.909164,-0.8666832,9.534385,-104.638725,-354.55148,-11.644064,-104.775856,1.2853552,93.28824,-4.7294755,1.590288
-199.3261,-788.1883,-1561.9456,229.78531,24.484785,-545.0258,-1185.875,-13.42409,0.0,-259.42896,2.830022,-1381.1403,-1.791294,12.308841,-1841.5162,-2.6360722,26.505795,34.944675,1132.8009,-9463.167,-237.97142,-371.02887,-17471.172,-1173.8677,139.93517,-1220.4766,249.27626,-16612.74,-13835.048,0.0,-77.68614,0.08699751,-3.2620344,-140.66315,-736.7624,-11.964546,-113.00983,4.737191,-18.50081,44.935333,1.5622113
40.825592,-372.82544,267.7556,441.98184,-21.319132,322.43237,109.810196,-13.04041,0.0,-1167.1688,-57.568623,-418.00214,-1.1410389,-30.62542,-1722.6749,1.7150999,16.183758,-77.86836,1730.0266,-6417.6357,-271.90503,-27.570679,-10107.45,-18.475569,209.82613,-462.29932,68.59218,-6772.7183,-5182.713,0.0,-53.56906,1.3651179,-24.622406,-98.80081,444.13348,-12.11088,80.31468,4.209215,-31.33344,-3.6612787,-0.9027102
115.15048,-860.4996,-2058.9067,306.6218,92.686806,-712.0093,-939.26166,-16.227314,0.0,-1007.4832,31.267979,-570.8651,-2.083564,37.226437,285.0331,-15.191719,-14.831667,-46.903004,2628.0366,1991.9149,909.5128,-295.1504,-3290.6538,556.5982,342.4986,2081.3777,359.91373,8201.392,14400.704,0.0,-100.34255,-5.8443623,-7.3550158,12.122299,1031.1224,-60.067646,63.97226,7.3185635,-12.906009,-4.732939,-0.59813553
8.290269,-250.50102,539.8598,573.0714,7.6794806,396.43304,203.66446,-11.2826,0.0,-780.1571,-58.11407,141.91542,0.46507722,37.97755,44.911366,-2.9446902,1.0833615,-48.880966,1301.8328,-4000.0298,732.9511,195.14296,-7443.0854,322.144,177.77237,-296.40704,180.56314,3812.7405,3138.123,0.0,-67.508835,-2.2879148,-26.514082,-145.42017,-312.53284,-13.680236,-27.319473,3.6673746,65.934265,-4.5330963,1.590288
5.2093205,-968.22064,-1165.2668,460.84445,188.50804,-403.003,-657.7507,-16.655014,0.0,-1245.7222,-152.51451,168.82368,-0.88991594,-112.59685,418.82098,-3.1925473,-13.578439,-76.87188,1806.5525,-7144.337,-46.620007,-36.648514,-11041.243,-486.0328,121.531105,-488.9044,223.81718,-7396.746,-9330.947,0.0,120.10174,-1.2816889,-6.5930777,334.72552,785.03076,-11.896722,159.64755,2.759367,-25.587181,62.606148,1.5622113
15.657722,-333.7709,558.9555,295.06467,-21.082457,590.28503,209.68022,-10.399501,0.0,-509.3216,36.864258,-457.77213,1.8825895,30.791077,309.8671,-0.21194029,-131.87773,-97.09689,2100.8386,960.22504,936.7183,113.63393,-5464.3335,382.93588,592.218,3430.2346,-1470.2948,13104.904,16039.89,0.0,68.62899,-3.5447311,6.7617426,44.07796,347.5172,-62.41767,58.67254,3.0274734,35.05178,-3.3451755,1.590288
59.971935,-264.4386,389.86047,366.88943,-11.813797,443.60675,153.04427,-10.785979,0.0,-941.1958,15.429551,101.3573,0.976282,140.79948,522.4318,-2.6568036,-60.138195,352.79996,1560.8042,-2640.3235,833.4476,-211.904,-5232.272,321.83698,178.72127,61.236076,-4.6332846,4318.367,6495.349,0.0,-127.21712,-3.1494048,-5.066132,-246.70958,399.16122,-16.2852,39.061848,-23.173677,-25.598871,-4.453758,2.3576992
-30.02966,-771.05975,-2029.955,69.12865,106.67862,-762.2515,-1039.4404,-14.187754,0.0,-933.15564,32.645687,276.6973,-0.21703523,-66.842606,-135.85536,-3.3259225,2.2620206,170.2978,2788.6692,1948.2059,955.41614,-253.44038,-2830.4792,566.53436,782.2096,1961.5377,-319.4762,8147.2856,14716.019,0.0,-105.50186,-5.3837976,-6.9657984,-406.0197,763.5528,-51.552612,66.71356,2.9927123,-25.766592,73.31627,1.5622113
