Store,Period,Forecast Type,Feature,Feature Value,SHAP Value,Readable Feature,Effect
1,2015-05-01,Monthly,Store,1.0,44.7794,Store,Increases prediction
1,2015-05-01,Monthly,OpenDays,23.0,-642.0789,number of open days,Decreases prediction
1,2015-05-01,Monthly,PromoDays,10.0,-1314.6669,promotion activity,Decreases prediction
1,2015-05-01,Monthly,SchoolHolidayDays,0.0,365.9473,school holiday period,Increases prediction
1,2015-05-01,Monthly,WeekendDays,5.0,94.8253,weekend days,Increases prediction
1,2015-05-01,Monthly,MonthStartDays,0.0,-439.2826,month-start timing,Decreases prediction
1,2015-05-01,Monthly,MonthEndDays,0.0,-1071.7473,month-end timing,Decreases prediction
1,2015-05-01,Monthly,StateHolidayDays,23.0,-101.6593,state holiday period,Decreases prediction
1,2015-05-01,Monthly,Year,2015.0,0.0,calendar year,No effect
1,2015-05-01,Monthly,Month,5.0,151.3917,month of year,Increases prediction
1,2015-05-01,Monthly,Quarter,2.0,17.3366,quarter of year,Increases prediction
1,2015-05-01,Monthly,CompetitionDistance,1270.0,-52.2785,distance to nearest competitor,Decreases prediction
1,2015-05-01,Monthly,CompetitionOpenKnown,1.0,0.0129,competition opening date availability,Increases prediction
1,2015-05-01,Monthly,CompetitionOpenSinceMonth,9.0,-8.4062,CompetitionOpenSinceMonth,Decreases prediction
1,2015-05-01,Monthly,CompetitionOpenSinceYear,2008.0,247.7122,CompetitionOpenSinceYear,Increases prediction
1,2015-05-01,Monthly,Promo2,0.0,0.7728,long-term promotion participation,Increases prediction
1,2015-05-01,Monthly,Promo2SinceWeek,0.0,13.9047,Promo2SinceWeek,Increases prediction
1,2015-05-01,Monthly,Promo2SinceYear,0.0,-69.6813,Promo2SinceYear,Decreases prediction
1,2015-05-01,Monthly,TimeIndex,29.0,1255.9469,time progression,Increases prediction
1,2015-05-01,Monthly,sales_lag_1,110655.0,-8500.267,previous period sales,Decreases prediction
1,2015-05-01,Monthly,sales_lag_2,118917.0,-289.4126,sales two periods ago,Decreases prediction
1,2015-05-01,Monthly,sales_lag_3,106635.0,-851.6,sales three months ago,Decreases prediction
1,2015-05-01,Monthly,sales_lag_12,117715.0,-19335.643,sales twelve months ago,Decreases prediction
1,2015-05-01,Monthly,rolling_mean_3,112069.0,-1093.8909,recent 3-month average sales,Decreases prediction
1,2015-05-01,Monthly,rolling_std_3,6261.9029,49.5846,recent 3-month sales variability,Increases prediction
1,2015-05-01,Monthly,rolling_mean_6,124614.5,-1666.0781,recent 6-month average sales,Decreases prediction
1,2015-05-01,Monthly,rolling_std_6,19699.8501,-460.7418,recent 6-month sales variability,Decreases prediction
1,2015-05-01,Monthly,EMA_3,114697.4845,-14664.334,recent 3-month weighted sales trend,Decreases prediction
