Feature,Importance
sales_lag_12,0.630913542681766
EMA_6,0.2680380954896987
rolling_mean_6,0.04216898630199821
EMA_3,0.020716520076177438
sales_lag_1,0.013770350282011552
Month,0.006094771536717164
TimeIndex,0.003894731435724102
PromoDays,0.0027619865936515916
rolling_mean_3,0.0018362112441643829
sales_lag_2,0.0014008409821594115
rolling_std_3,0.0013062366100544084
OpenDays,0.0010616025757490834
rolling_std_6,0.0008959537589147708
CompetitionDistance,0.000884405690012775
sales_lag_3,0.0008180084002905418
Store,0.0007179313419088995
SchoolHolidayDays,0.0004969343772112807
CompetitionOpenSinceYear,0.0004804060996437962
CompetitionOpenSinceMonth,0.00033207911725598985
Promo2SinceWeek,0.00015228026247855666
WeekendDays,0.00015185079336335437
Promo2SinceYear,0.00014665506557223556
Quarter,0.0001340279808931939
MonthEndDays,0.00013351648484922148
Assortment_a,0.00010226784258087232
StoreType_a,9.653072400629545e-05
Assortment_c,8.951818131319505e-05
MonthStartDays,7.588234448807334e-05
StoreType_d,6.059324022195342e-05
Assortment_b,5.683936857699654e-05
StoreType_c,5.236181265158187e-05
"PromoInterval_Jan,Apr,Jul,Oct",4.32405361710474e-05
"PromoInterval_Feb,May,Aug,Nov",2.5005821021229083e-05
StateHolidayDays,2.029784655822875e-05
CompetitionOpenKnown,2.008332629717044e-05
"PromoInterval_Mar,Jun,Sept,Dec",1.714437923334005e-05
StoreType_b,1.4394519488764675e-05
Promo2,9.946025573189714e-06
PromoInterval_none,7.968849551579588e-06
Year,0.0
days_since_last_promo,0.0
