Feature,Importance
sales_lag_52,0.3179572182891709
rolling_mean_12,0.2912040979138401
PromoDays,0.14535200885023786
rolling_mean_4,0.06945597854166627
sales_lag_2,0.06487670280225895
EMA_8,0.03442822852725199
EMA_4,0.032709740959404106
OpenDays,0.01057826223667889
sales_lag_4,0.005583614628215609
WeekOfYear,0.0045941916222486945
TimeIndex,0.0033969205712873858
rolling_mean_8,0.003197487162984762
sales_lag_1,0.003056908883135404
rolling_std_12,0.002165656016490737
rolling_std_4,0.002056893898808929
rolling_std_8,0.0017645906327798803
sales_lag_8,0.0016887795664918461
CompetitionDistance,0.0008915250737209136
SchoolHolidayDays,0.0008483727435732765
Month,0.0008411999355788296
Store,0.0006561048330516559
CompetitionOpenSinceYear,0.0003861168474961442
CompetitionOpenSinceMonth,0.00032384866651399786
MonthStartDays,0.00028020111222114643
Promo2SinceWeek,0.00020433499934929906
Promo2SinceYear,0.00019172330466014773
MonthEndDays,0.00016961210851027035
WeekendDays,0.00014523337242114734
Quarter,0.0001334477622741693
StoreType_a,0.00011935580507226964
Assortment_c,9.557363624971292e-05
Assortment_a,8.917262391678374e-05
StoreType_d,7.256577997717624e-05
days_since_last_promo,7.14393798802934e-05
StoreType_b,7.136632735156913e-05
"PromoInterval_Jan,Apr,Jul,Oct",6.29146480479042e-05
Assortment_b,5.6826942004437705e-05
StoreType_c,3.9904325622569574e-05
Year,3.964746404638761e-05
StateHolidayDays,2.9436859202844235e-05
"PromoInterval_Feb,May,Aug,Nov",2.8226893972951774e-05
"PromoInterval_Mar,Jun,Sept,Dec",2.739889091715105e-05
CompetitionOpenKnown,2.0652221529350302e-05
Promo2,1.850539224654104e-05
PromoInterval_none,1.801094763878125e-05
