Store,Period,Forecast Type,Predicted Sales,Actual Sales,Important Positive Factors,Important Negative Factors,Business Message
1,2015-05-04,Weekly,29675.24,29272.0,"promotion activity, week of year, number of open days","quarter of year, competition proximity, PromoInterval_none","Weekly demand forecast: 29,675 sales units. Main factors increasing the forecast: promotion activity, week of year, number of open days. Main factors reducing the forecast: quarter of year, competition proximity, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-05-11,Weekly,21651.57,19705.0,"recent 12-week demand volatility, recent 4-week demand volatility, school holiday period","PromoInterval_Jan,Apr,Jul,Oct, quarter of year, PromoInterval_none","Weekly demand forecast: 21,652 sales units. Main factors increasing the forecast: recent 12-week demand volatility, recent 4-week demand volatility, school holiday period. Main factors reducing the forecast: PromoInterval_Jan,Apr,Jul,Oct, quarter of year, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-05-18,Weekly,28379.53,27740.0,"promotion activity, time since last promotion, number of open days","PromoInterval_none, quarter of year, PromoInterval_Feb,May,Aug,Nov","Weekly demand forecast: 28,380 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, number of open days. Main factors reducing the forecast: PromoInterval_none, quarter of year, PromoInterval_Feb,May,Aug,Nov. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-05-25,Weekly,20143.84,22653.0,"recent 12-week demand volatility, week of year, school holiday period","Assortment_b, quarter of year, PromoInterval_none","Weekly demand forecast: 20,144 sales units. Main factors increasing the forecast: recent 12-week demand volatility, week of year, school holiday period. Main factors reducing the forecast: Assortment_b, quarter of year, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-06-01,Weekly,27351.03,26600.0,"promotion activity, time since last promotion, month-start timing","PromoInterval_none, Assortment_b, PromoInterval_Feb,May,Aug,Nov","Weekly demand forecast: 27,351 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, month-start timing. Main factors reducing the forecast: PromoInterval_none, Assortment_b, PromoInterval_Feb,May,Aug,Nov. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-06-08,Weekly,21270.68,23342.0,"number of open days, recent 12-week demand volatility, school holiday period","Assortment_b, quarter of year, PromoInterval_none","Weekly demand forecast: 21,271 sales units. Main factors increasing the forecast: number of open days, recent 12-week demand volatility, school holiday period. Main factors reducing the forecast: Assortment_b, quarter of year, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-06-15,Weekly,27754.07,27314.0,"promotion activity, time since last promotion, number of open days","PromoInterval_Mar,Jun,Sept,Dec, quarter of year, PromoInterval_none","Weekly demand forecast: 27,754 sales units. Main factors increasing the forecast: promotion activity, time since last promotion, number of open days. Main factors reducing the forecast: PromoInterval_Mar,Jun,Sept,Dec, quarter of year, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-06-22,Weekly,22203.48,21823.0,"number of open days, recent 12-week demand volatility, recent 4-week demand volatility","quarter of year, competition proximity, PromoInterval_none","Weekly demand forecast: 22,203 sales units. Main factors increasing the forecast: number of open days, recent 12-week demand volatility, recent 4-week demand volatility. Main factors reducing the forecast: quarter of year, competition proximity, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-06-29,Weekly,29522.33,31175.0,"promotion activity, month-start timing, number of open days","month of year, quarter of year, PromoInterval_none","Weekly demand forecast: 29,522 sales units. Main factors increasing the forecast: promotion activity, month-start timing, number of open days. Main factors reducing the forecast: month of year, quarter of year, PromoInterval_none. Recommendation: maintain standard inventory levels; monitor demand changes."
1,2015-07-06,Weekly,22926.0,23041.0,"number of open days, recent 12-week demand volatility, week of year","PromoInterval_Mar,Jun,Sept,Dec, PromoInterval_none, quarter of year","Weekly demand forecast: 22,926 sales units. Main factors increasing the forecast: number of open days, recent 12-week demand volatility, week of year. Main factors reducing the forecast: PromoInterval_Mar,Jun,Sept,Dec, PromoInterval_none, quarter of year. Recommendation: maintain standard inventory levels; monitor demand changes."
