Store,WeekOfYear,OpenDays,PromoDays,SchoolHolidayDays,WeekendDays,MonthStartDays,MonthEndDays,StateHolidayDays,Year,Month,Quarter,CompetitionDistance,CompetitionOpenKnown,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,TimeIndex,sales_lag_1,sales_lag_2,sales_lag_4,sales_lag_8,sales_lag_52,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,EMA_4,EMA_8,days_since_last_promo,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,"PromoInterval_Feb,May,Aug,Nov","PromoInterval_Jan,Apr,Jul,Oct","PromoInterval_Mar,Jun,Sept,Dec",PromoInterval_none
-22.209175,463.0007,-2409.4248,-7315.55,-742.6317,5.7597466,-174.82074,-187.94089,-5.8727117,-11.528522,-116.95497,-4.219183,99.31317,1.1574143,19.584541,30.902763,62.397186,22.480999,-11.026528,-249.64049,910.25073,0.5693043,372.15533,88.37719,-265.65622,888.2321,-229.78342,1535.0364,-107.0044,7998.909,-337.60794,1675.6785,4797.024,-929.1351,-247.5529,-8.534835,-26.218153,-7.063758,61.41929,-5.838722,33.021954,2.110509,0.54906815,-15.81578,-0.38091052
-18.561646,390.0299,748.6282,-7307.5444,241.45142,0.6734024,-142.07494,-45.56125,-7.4559145,-3.9598455,52.236656,-4.2295046,17.142525,0.71143407,2.9959826,71.09159,2.2344358,-35.672413,-74.39259,257.8253,561.51117,-112.39307,-83.67854,-67.23041,-1997.0088,665.60736,-93.01926,1263.6035,-74.147644,6038.687,-630.68396,918.1304,2237.3645,-850.9696,56.633236,-1.5779359,14.648455,20.33199,27.49387,-2.3724492,37.72063,6.564627,104.49411,-3.0675325,0.4557062
15.789338,366.86755,720.3275,-7288.899,240.13245,2.491475,-152.27586,-52.655792,-5.6814466,-3.709734,58.18634,-1.3730943,124.222084,0.7488722,2.0613637,-197.14154,-23.13451,-54.355175,-71.17582,66.728745,334.82397,-140.02754,-25.245407,-65.77266,-1710.1284,751.59296,-77.62915,1250.8445,-84.833305,6083.9385,-671.22015,947.433,2270.903,-914.8596,-51.60107,-1.5218284,18.878864,-9.298349,4.5275526,-2.434487,32.09863,11.8300085,103.23443,-2.7606757,0.4557062
-5.6976566,136.3064,634.02655,-4713.296,258.45773,0.63632405,-117.29198,-50.554848,-6.9427958,-4.672129,18.37814,-3.3118014,62.83233,0.48010868,-23.51925,52.987915,19.680567,-34.51092,-1.0806828,49.06383,-114.87806,-213.31769,-101.12035,8.885982,-2018.2144,-434.64453,232.89839,-404.45377,67.14688,-2239.0986,400.57956,361.33096,-525.1291,-619.3173,63.3428,4.088814,7.7992916,15.247417,60.018894,-2.5194561,47.0062,1.2049195,-20.715933,22.65003,0.4557062
-9.494138,976.5835,521.89044,5601.2534,367.8467,8.241622,-131.24228,-63.624046,-6.0123067,-2.4755785,-108.593994,-5.0271125,-107.8292,-0.18502538,19.819487,83.77432,-11.991688,6.594741,-22.967316,244.61351,179.31474,-643.17804,-269.044,-80.027855,3371.6812,683.5764,-92.63381,380.43524,-195.01155,1540.9828,51.62565,-153.15729,-203.95248,-618.3806,-59.624092,9.739269,0.61198395,-13.395704,-18.093838,0.6053881,-29.690224,-9.160643,-7.5703325,-2.423975,-0.38091052
-3.84055,1219.3641,473.4348,5073.9995,323.32553,7.2914534,-109.535774,-38.57084,-7.609809,-2.3672462,-87.61505,-2.6019754,1.0354253,0.68483025,-28.46693,-204.95177,-18.565014,13.546145,-34.31307,82.044685,177.785,-368.58188,-406.71902,-9.06475,-970.8849,-219.12672,-43.59674,161.87967,-49.490234,-78.44772,51.12734,2.2377784,-739.30115,-477.0642,-60.207855,11.585203,4.5357647,-11.849409,8.398483,-0.5444891,21.740646,-7.3009377,-9.628209,-3.1205595,-0.38091052
-37.16762,107.314896,619.6905,-5381.365,213.8721,-2.0992413,-111.883865,-104.46357,-4.437175,-4.7383637,93.05903,-0.7783545,-2.4260528,0.46326938,-24.190895,62.8315,25.061352,-1.4953973,46.85952,-171.35109,-193.69075,-686.8925,-123.688065,-7.569668,-3147.5476,-616.65454,-153.24002,-863.86255,12.416447,-2988.2,105.17703,-96.9902,-804.4232,-439.98578,73.57818,3.4659686,12.025571,30.264982,79.283844,-1.1499597,57.080696,-40.595554,-13.001639,-2.482287,0.28916457
6.571723,238.56822,656.6095,-5678.433,254.41,-4.336685,-122.7384,-80.21428,-4.5516305,-3.0766845,42.683056,-2.2937589,-60.72854,1.1682411,-33.124557,104.79188,-15.932769,14.974415,-25.816807,-87.82937,-4.7869554,-556.22424,-219.87355,-83.31448,-1856.0742,-161.77737,-71.27068,81.28914,49.88719,-198.0996,-27.505075,240.45862,-436.80225,-726.51105,-50.709427,3.9418113,10.225123,-3.5598714,-62.265953,-1.5764937,-44.025375,3.625086,-25.480242,-1.7918863,-0.38091052
-43.236202,187.60643,770.92035,-6989.0107,339.5618,-13.718346,-158.24408,-123.366394,-5.5435452,-3.0934238,-1.1073292,-4.1136813,8.256406,-0.37683314,-32.767975,65.07333,22.618872,55.3451,153.2602,524.554,190.76555,-674.81146,-154.06488,-105.188675,5761.9653,115.74087,-5.3960533,817.98486,157.18272,4377.8867,208.95506,-195.03519,-545.13403,-658.2732,92.44697,-3.1310241,-0.83456695,159.78215,-58.118828,-3.4822657,-38.325344,18.990938,33.357212,-3.0852947,0.4557062
20.29173,-699.6906,-1466.8364,-6957.902,213.41968,-1.0596546,-125.412415,-180.8227,-5.5420885,-4.252947,-102.05501,-1.2837182,14.700152,-0.399993,-9.488079,86.285385,17.071121,25.036194,-19.730188,-29.413355,172.31293,-134.3774,250.86649,-26.052044,3970.6877,370.7758,-19.103037,1012.70184,19.43678,3410.3682,79.542625,-122.20095,-392.35773,-957.8347,-180.70407,4.408526,-15.006081,-6.491676,-62.634827,-2.5629854,-40.828526,1.6853142,2.0603814,-4.384181,-0.38091052
-5.8591805,113.54172,603.7173,-5655.2773,243.12653,-2.5625741,-126.78639,-93.34659,-5.250136,-3.2948387,-25.88052,-1.3894454,-53.792274,0.031879928,16.24132,35.27938,30.315052,-40.193214,-0.9338609,51.927258,-54.365673,-551.9863,-254.29001,31.84201,-2310.8113,-275.2322,-129.28047,54.927418,45.821648,-257.0177,-24.513103,156.43622,-504.54642,-729.45746,71.67968,3.342084,7.335183,10.271153,-65.53909,-1.109003,-47.1745,5.4860144,-2.657731,22.020725,0.4557062
22.869976,-774.3111,492.52396,6190.797,-1469.5541,12.989602,-165.99556,-158.76036,-4.7553477,-4.0002193,17.773535,-10.964989,-132.92232,7.4582224,-27.570614,86.17128,29.474533,-17.283913,41.216244,1178.7552,-45.482384,-36.530186,465.89944,-161.61124,5525.161,992.90466,266.56686,1203.7349,83.793045,4258.9014,141.7481,-51.42963,104.28074,1026.9973,-93.54709,6.7029414,-26.011879,-18.186451,30.069735,0.74104893,58.44664,1.0307752,-4.890893,40.834347,1.4168137
-8.492457,35.41728,527.9153,5369.2485,-1546.3057,7.8283887,755.43884,304.72318,-4.6065645,-4.9746375,36.87402,-6.878272,-67.03259,3.5385668,34.538803,60.23718,24.44044,-21.51117,144.78389,706.8126,-258.0788,180.85646,7.1999006,-53.275394,-373.4882,838.17084,-80.64924,216.27422,154.74275,513.7025,127.143745,-213.95377,-302.0818,598.36,-105.64103,8.837076,-7.0437937,-9.270655,-29.472721,1.2435981,-51.638783,-30.118961,-36.92772,15.3397665,1.2411437
