Feature,Importance
sales_lag_12,0.34277877
EMA_6,0.3424013
EMA_3,0.14162573
rolling_mean_6,0.09076558
sales_lag_1,0.01832463
Month,0.0061912737
TimeIndex,0.0057553137
rolling_mean_3,0.0055125854
Assortment_b,0.0042810454
OpenDays,0.0036972754
StateHolidayDays,0.003540193
PromoDays,0.0033882766
Quarter,0.0030814062
WeekendDays,0.0026423011
sales_lag_2,0.0023575327
StoreType_b,0.0017608183
MonthEndDays,0.0017189025
CompetitionOpenSinceMonth,0.0014619889
sales_lag_3,0.0014019441
rolling_std_3,0.0013919491
Assortment_a,0.0013789805
SchoolHolidayDays,0.0013110806
rolling_std_6,0.0012049162
Store,0.0011873594
StoreType_c,0.0011672522
CompetitionOpenSinceYear,0.0011027791
CompetitionDistance,0.0009331353
MonthStartDays,0.0009246599
Assortment_c,0.00087551505
StoreType_d,0.00087006734
Promo2,0.0007855847
"PromoInterval_Jan,Apr,Jul,Oct",0.0006818123
StoreType_a,0.00067960826
CompetitionOpenKnown,0.00061752857
"PromoInterval_Mar,Jun,Sept,Dec",0.000607586
Promo2SinceYear,0.00060648995
Promo2SinceWeek,0.00051664544
"PromoInterval_Feb,May,Aug,Nov",0.0004702153
Year,0.0
periods_since_last_promo,0.0
PromoInterval_none,0.0
