Feature,Importance
rolling_mean_12,0.19687486
EMA_8,0.17248654
sales_lag_52,0.1604257
PromoDays,0.112795025
rolling_mean_4,0.10428491
rolling_mean_8,0.067319416
EMA_4,0.0472361
sales_lag_2,0.041282084
periods_since_last_promo,0.015510152
OpenDays,0.013740383
MonthStartDays,0.008534393
StateHolidayDays,0.0074908137
StoreType_b,0.005887595
WeekOfYear,0.005510059
sales_lag_1,0.00457995
SchoolHolidayDays,0.0032668302
sales_lag_4,0.002946336
TimeIndex,0.0028238182
rolling_std_4,0.0027848708
Quarter,0.0021848984
Month,0.002069293
WeekendDays,0.0017947772
Assortment_b,0.0014192436
MonthEndDays,0.0012558779
sales_lag_8,0.0012436592
Assortment_a,0.0011816688
rolling_std_8,0.001164593
Promo2,0.0011270937
CompetitionOpenSinceMonth,0.0010006322
rolling_std_12,0.0009592983
Assortment_c,0.0009348098
StoreType_a,0.00092099875
Store,0.00083468936
CompetitionDistance,0.00078120123
StoreType_c,0.00075929647
Promo2SinceWeek,0.0007388551
StoreType_d,0.0006846895
Year,0.00060588884
CompetitionOpenSinceYear,0.0005513662
"PromoInterval_Jan,Apr,Jul,Oct",0.0005034536
"PromoInterval_Feb,May,Aug,Nov",0.0004358976
CompetitionOpenKnown,0.00040092636
Promo2SinceYear,0.0003525022
"PromoInterval_Mar,Jun,Sept,Dec",0.00031451485
PromoInterval_none,0.0
